iter	Passed	Remaining
424	4627	108872712
425	4638	108870026
426	4648	108867209
427	4659	108870316
428	4670	108860150
429	4681	108861599
430	4692	108880422
431	4703	108877529
432	4715	108887943
433	4726	108909774
434	4738	108922924
435	4748	108916726
436	4759	108914175
437	4770	108920249
438	4781	108902430
439	4791	108897729
440	4802	108885940
441	4812	108871345
442	4822	108857374
443	4832	108844934
444	4843	108828177
445	4853	108824653
446	4864	108818611
447	4874	108802732
448	4885	108807127
449	4896	108810522
450	4906	108793089
451	4916	108778235
452	4927	108774869
453	4938	108764349
454	4948	108761727
455	4960	108773225
456	4971	108784234
457	4982	108776069
458	4992	108767800
459	5003	108756445
460	5013	108739452
461	5023	108723253
462	5033	108705966
463	5043	108697615
464	5054	108686475
465	5064	108681654
466	5075	108679929
467	5086	108680037
468	5097	108680343
469	5108	108683755
470	5119	108682424
471	5129	108681011
472	5140	108671397
473	5150	108658514
474	5161	108648106
475	5171	108639042
476	5181	108627048
477	5192	108614896
478	5202	108596849
479	5212	108585860
480	5222	108567128
481	5232	108552069
482	5242	108538487
483	5252	108520594
484	5262	108506950
485	5273	108502825
486	5283	108494274
487	5294	108488808
488	5304	108475731
489	5314	108460296
490	5325	108448777
491	5335	108434778
492	5346	108442629
493	5357	108444187
494	5367	108429002
495	5377	108415404
496	5387	108400499
497	5398	108388408
498	5408	108376454
499	5418	108365196
500	5428	108351571
501	5438	108337269
502	5449	108331964
503	5459	108317277
504	5469	108303978
505	5479	108290892
506	5490	108287409
507	5500	108272937
508	5510	108258178
509	5520	108246031
510	5530	108231147
511	5540	108212743
512	5551	108215509
513	5562	108217157
514	5573	108222497
515	5584	108225796
516	5594	108213483
517	5605	108205812
518	5616	108218620
519	5628	108225973
520	5639	108241804
521	5650	108246929
522	5661	108235590
523	5671	108224116
524	5681	108217718
525	5691	108206385
526	5702	108196112
527	5712	108183200
528	5722	108173512
529	5733	108166972
530	5743	108152148
531	5753	108138172
532	5763	108124347
533	5773	108112586
534	5783	108103874
535	5794	108092146
536	5804	108081507
537	5814	108071905
538	5824	108060164
539	5835	108050144
540	5845	108038862
541	5855	108030277
542	5865	108018541
543	5876	108009514
544	5886	107997260
545	5896	107985459
546	5906	107968008
547	5916	107956759
548	5926	107946221
549	5936	107932100
550	5947	107936382
551	5957	107921135
552	5967	107907505
553	5978	107902804
554	5988	107888135
555	5998	107878763
556	6008	107869113
557	6018	107858435
558	6029	107850317
559	6040	107860874
560	6052	107879146
561	6063	107891286
562	6075	107915324
563	6087	107935464
564	6100	107974292
